epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.20834,1.40677,3.24701,1.36023,0.50108,0.52435,0.50342,0.19876,2.22198,2.19848,1.82242,0.00014,0.00014,0.08614
2,10.638,1.22309,0.97948,1.26054,0.66252,0.72042,0.83623,0.48503,1.52985,1.4994,1.32402,0.000289929,0.000289929,0.0712899
3,15.2316,1.19296,0.84037,1.20526,0.77049,0.82649,0.88766,0.57774,1.31874,1.13362,1.23882,0.00043957,0.00043957,0.0564396
4,19.786,1.17523,0.74197,1.19836,0.74146,0.93265,0.96414,0.64171,1.19449,0.98336,1.14156,0.000588704,0.000588704,0.0415887
5,24.3438,1.11371,0.75582,1.1598,0.83223,0.93725,0.93031,0.59154,1.25571,1.3077,1.21043,0.000737112,0.000737112,0.0267371
6,28.6985,1.09045,0.76212,1.15128,0.79369,0.89526,0.95664,0.60965,1.25047,1.70553,1.15915,0.000884576,0.000884576,0.0118846
7,33.1175,1.14624,0.77797,1.17059,0.89048,0.94318,0.97253,0.59662,1.33276,0.95595,1.20895,0.000991232,0.000991232,0.000991232
8,37.5249,1.11286,0.73008,1.16312,0.91809,0.87402,0.97276,0.63133,1.30441,0.77529,1.18951,0.000988079,0.000988079,0.000988079
9,41.97,1.14241,0.68555,1.16891,0.94803,0.89879,0.96991,0.58552,1.41589,0.78972,1.21435,0.000984449,0.000984449,0.000984449
10,46.4458,1.09821,0.64126,1.14564,0.92247,0.97727,0.98614,0.62569,1.28972,0.80801,1.20183,0.000980345,0.000980345,0.000980345
11,50.9515,1.08779,0.66916,1.13468,0.9242,0.93182,0.97581,0.60992,1.39737,0.94994,1.22775,0.000975773,0.000975773,0.000975773
12,55.5128,1.08261,0.6779,1.13849,0.8822,0.8833,0.9753,0.64741,1.25366,0.86991,1.1669,0.000970736,0.000970736,0.000970736
13,60.2086,1.06575,0.61829,1.12838,0.87591,0.82904,0.96588,0.6273,1.28652,0.95663,1.18809,0.000965239,0.000965239,0.000965239
14,64.8539,1.04662,0.59455,1.11368,0.92893,0.91106,0.9441,0.60559,1.27201,0.75904,1.20382,0.000959289,0.000959289,0.000959289
15,69.5376,1.08516,0.61926,1.13431,0.96087,0.93182,0.96383,0.60511,1.28623,0.66067,1.204,0.000952889,0.000952889,0.000952889
16,74.3222,1.04276,0.60993,1.1279,0.91486,0.92363,0.98532,0.6192,1.34875,0.71565,1.22474,0.000946048,0.000946048,0.000946048
17,79.1416,1.05025,0.61519,1.10199,0.93901,0.96591,0.96784,0.6246,1.30917,0.6572,1.20588,0.000938772,0.000938772,0.000938772
18,84.0766,1.03329,0.57443,1.10404,0.98154,0.95455,0.98333,0.65355,1.22541,0.63352,1.14344,0.000931067,0.000931067,0.000931067
19,89.1472,1.05967,0.59173,1.11801,0.98139,0.95395,0.97466,0.59688,1.35014,0.67505,1.21001,0.000922942,0.000922942,0.000922942
20,94.0611,1.00812,0.55386,1.08193,0.98047,0.9624,0.97979,0.64837,1.19885,0.64682,1.13016,0.000914405,0.000914405,0.000914405
21,98.8485,1.01706,0.56773,1.08624,0.97942,0.94318,0.98332,0.62712,1.27894,0.62819,1.16709,0.000905463,0.000905463,0.000905463
